time,closedPnL,leverage,size,Date,timestamp,value,classification
2024-03-12 23:38:00,263.228215,33.35,8035.68,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,4.887398,0.62,149.38,2024-03-12,1710221400,81,Extreme Greed
2024-04-12 05:30:00,0.0,0.00860239,0.1,2024-04-12,1712899800,79,Extreme Greed
2025-04-03 23:23:00,0.0,2834.9,1728.58,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,190.9,116.4,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,2818.6,1718.67,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,3689.6,2249.95,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,3688.1,2250.0,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,1306.3,797.08,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,3131.3,1911.13,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,5238.8,3197.71,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,5113.1,3121.09,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,1644.7,1003.94,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,70343.7,42981.41,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,1467.6,896.51,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,2755.7,1683.43,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,3152.0,1925.97,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,2812.6,1718.58,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,66639.8,40718.92,2025-04-03,1743658200,25,Fear
2025-04-03 23:23:00,0.0,23172.3,14164.3,2025-04-03,1743658200,25,Fear
2025-04-03 23:27:00,0.0,3256.6,1982.94,2025-04-03,1743658200,25,Fear
2025-04-03 23:27:00,0.0,3171.0,1930.82,2025-04-03,1743658200,25,Fear
2025-04-03 23:27:00,0.0,420.7,256.17,2025-04-03,1743658200,25,Fear
2025-04-03 23:27:00,0.0,43151.7,26285.43,2025-04-03,1743658200,25,Fear
2024-12-12 15:53:00,0.0,173.92,3116.65,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:53:00,0.0,9.55,171.14,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:53:00,0.0,28.33,507.67,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:53:00,0.0,14.0,250.88,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:53:00,0.0,1.5,26.88,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:53:00,0.0,11.0,197.12,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,2.08,37.27,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,0.65,11.65,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,2.28,40.86,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,3.8,68.1,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,100.0,1792.0,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,28.79,515.92,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,129.5,2320.64,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 15:54:00,0.0,11.6,207.87,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 16:07:00,0.0,96.21,1721.2,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 16:07:00,0.0,400.0,7156.0,2024-12-12,1733981400,83,Extreme Greed
2024-12-12 16:07:00,0.0,313.79,5613.7,2024-12-12,1733981400,83,Extreme Greed
2025-02-01 15:58:00,0.0,265.81,6904.95,2025-02-01,1738387800,68,Greed
2025-02-01 15:58:00,0.0,274.19,7122.63,2025-02-01,1738387800,68,Greed
2025-02-01 19:15:00,0.0,500.0,12655.0,2025-02-01,1738387800,68,Greed
2025-03-01 19:56:00,0.0,700.0,16978.5,2025-03-01,1740807000,20,Extreme Fear
